"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,152,0,0,81,0,153,185.463,0,61.7874,0,218.595
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,167,0,0,97,0,151,200.953,0,68.5475,0,442.436
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,219,0,0,107,0,191,1929.86,0,777.599,0,643.371
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,349,0,0,185,0,198,4783.59,0,3228.01,0,1433.47
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,268,0,0,120,0,167,2005.82,0,814.06,0,408.741
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,201,0,0,88,0,161,296.539,0,62.9876,0,289.122
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,266,0,0,133,0,209,2081.76,0,958.05,0,757.764
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,204,0,0,103,0,161,463.786,0,83.2783,0,360.577
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,0,0,0,0,0,7,0,0,0,0,2.97647
function@_ZN8MoleculeC2Ev,0,0,0,0,0,5,0,0,0,0,2
function@_ZN8MoleculeD2Ev,0,0,0,0,0,4,0,0,0,0,2.24074
function@_ZN8Molecule8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,7.57384
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,5,0,0,0,0,2.5
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,0,0,0,0,0,7,0,0,0,0,3.98824
function@_Z9dummy_erfi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN26ComputeNonbondedWorkArraysC2Ev,9,0,0,9,0,43,1.71658e-05,0,8.99996,0,15.9999
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,20,0,0,0,0,7.70588
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,1,0,0,0,0,1
function@_ZN11PairCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,0,0,0,0,0,7,0,0,0,0,2.97647
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_GLOBAL__sub_I_Compute.C,0,0,0,0,0,2,0,0,0,0,2
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,134,0,0,0,0,12.729
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,5,0,0,0,0,3.38095
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,4,0,0,0,0,3
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,12.1282
function@_ZN7Lattice3setE6VectorS0_S0_S0_,0,0,0,0,0,5,0,0,0,0,3.35294
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,5,0,0,0,0,3.47619
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,0,0,0,0,0,25,0,0,0,0,6.65126
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,8,0,0,0,0,47.1667
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,199,0,0,85,0,139,201.566,0,64.0275,0,190.967
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,0,0,0,0,0,11,0,0,0,0,62.84
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,212,0,0,106,0,139,736.769,0,94.1621,0,335.134
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,293,0,0,143,0,166,1600.65,0,258.503,0,233.011
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,336,0,0,198,0,181,4946.97,0,3450.24,0,840.429
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,214,0,0,88,0,137,238.371,0,71.4258,0,196.978
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,225,0,0,104,0,140,933.555,0,101.566,0,416.555
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,224,0,0,93,0,133,241.764,0,74.3242,0,198.247
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,222,0,0,100,0,142,249.036,0,88.9615,0,424.236
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,139,0,0,94,0,140,171.791,0,63.7668,0,187.72
