"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z5thinkP11gamestate_tP7state_t,13,3,0,9,0,73,5.67493,0.441988,11.0529,0,106.637
function@_Z8PopCounty,0,0,0,0,0,0,0,0,0,0,0
function@_Z9FindFirsty,0,0,0,0,0,0,0,0,0,0,0
function@_Z15FindFirstRemovePy,0,0,0,0,0,1,0,0,0,0,1
function@_Z8FindLasty,0,0,0,0,0,2,0,0,0,0,2
function@_Z13ThickPopCounty,0,0,0,0,0,0,0,0,0,0,0
function@_Z5fevalP7state_tiP12t_eval_comps,125,32,0,69,0,124,418.32,77.5625,187.125,0,1419.71
function@_Z4evalP7state_tiii,2,0,0,2,0,18,0.94577,0,1.78027,0,13.7929
function@_Z13retrieve_evalP7state_t,0,0,0,0,0,1,0,0,0,0,1
function@_Z4ranki,0,0,0,0,0,0,0,0,0,0,0
function@_Z4filei,0,0,0,0,0,0,0,0,0,0,0
function@_Z8sum_distii,0,0,0,0,0,4,0,0,0,0,4
function@_Z12taxicab_distii,0,0,0,0,0,4,0,0,0,0,4
function@_Z16taxicab_dist_bitii,0,0,0,0,0,4,0,0,0,0,4
function@_Z11check_phaseP11gamestate_tP7state_t,4,0,0,1,2,5,1.25,0,0.625,2.29167,27.6667
function@_Z11check_legalP7state_ti,0,0,0,0,0,10,0,0,0,0,91.6562
function@_Z20check_castle_blockerP7state_ti,0,0,0,0,0,4,0,0,0,0,0.195276
function@_Z3seeP7state_tiiii,13,0,0,9,1,19,92.8373,0,7.5,19.8573,123.312
function@_Z9gen_quietP7state_tPi,4,2,0,2,0,28,2.25,21,2,0,1447
function@_Z11add_capturePiiiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z8add_movePiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z15add_king_castlePiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z3genP7state_tPi,4,2,0,2,0,34,2.25,21,2,0,1493.15
function@_Z12gen_capturesP7state_tPi,1,3,0,3,0,35,1,22,2,0,1513.93
function@_Z15gen_good_checksP7state_tPi,3,6,0,5,0,20,21.625,101,5,0,3763
function@_Z16gen_check_blocksP7state_tPii,2,1,0,1,0,26,0.625,0.999999,1,0,1409
function@_Z12gen_evasionsP7state_tPii,0,0,0,0,0,12,0,0,0,0,29.125
function@_Z8psq_evalP7state_tP12t_eval_comps,0,0,0,0,0,0,0,0,0,0,0
function@_Z14init_psq_scoreP7state_t,0,0,0,0,0,2,0,0,0,0,21
function@_Z18preprocess_preparev,0,0,0,0,0,0,0,0,0,0,0
function@_Z13PrintBitboardy,0,0,0,0,0,2,0,0,0,0,32.875
function@_Z17PrintRotBitboardsP7state_t,0,0,0,0,0,2,0,0,0,0,32.875
function@_Z17PrintAllBitboardsP7state_t,0,0,0,0,0,14,0,0,0,0,415.375
function@_Z22SetupPrecalculatedDatav,21,11,0,29,0,127,579,259,773,0,3858.21
function@_Z16SetupCastleMasksP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z11RankAttacksyj,0,0,0,0,0,2,0,0,0,0,2
function@_Z11FileAttacksyj,0,0,0,0,0,1,0,0,0,0,1
function@_Z15DiagonalAttacksyj,0,0,0,0,0,0,0,0,0,0,0
function@_Z15AntiDiagAttacksyj,0,0,0,0,0,0,0,0,0,0,0
function@_Z13BishopAttacksP7state_ti,0,0,0,0,0,1,0,0,0,0,1
function@_Z11RookAttacksP7state_ti,0,0,0,0,0,5,0,0,0,0,5
function@_Z12elo_to_depthi,0,0,0,0,0,0,0,0,0,0,0
function@_Z14elo_to_blunderi,0,0,0,0,0,0,0,0,0,0,0
function@_Z12compact_movei,0,0,0,0,0,3,0,0,0,0,3
function@_Z4logLi,0,0,0,0,0,2,0,0,0,0,16.4375
function@_Z13allocate_timeP11gamestate_ti,0,0,0,0,0,5,0,0,0,0,0.897059
function@_Z11comp_to_sanP7state_tiPc,18,4,0,7,0,52,0.642725,0.367138,2.74414,0,40.8421
function@_Z13comp_to_coordP7state_tiPc,11,0,0,2,0,22,0.93865,0,1.25153,0,11.2577
function@_Z13display_boardP7state_ti,0,0,0,0,0,4,0,0,0,0,33.875
function@_Z8myprintfPKcz,0,0,0,0,0,6,0,0,0,0,3.79688
function@_Z9init_gameP11gamestate_tP7state_t,0,0,0,0,0,3,0,0,0,0,3
function@_Z18reset_piece_squareP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z7is_movePc,0,0,0,0,0,1,0,0,0,0,1
function@_Z20extract_current_pathP7state_t,0,0,0,0,0,10,0,0,0,0,81
function@_Z19extract_ponder_moveP7state_t,0,0,0,0,0,16,0,0,0,0,36.4062
function@_Z24extract_current_bestlineP7state_t,0,0,0,0,0,3,0,0,0,0,3
function@_ZL15hash_extract_pvP7state_tiPc,0,0,0,0,0,24,0,0,0,0,29.7741
function@_Z12stringize_pvP7state_tPc,0,0,0,0,0,1,0,0,0,0,1
function@_Z13post_thinkingP7state_tiiPci,0,0,0,0,0,26,0,0,0,0,10.9375
function@_Z16post_fh_thinkingP7state_tiiPci,0,0,0,0,0,19,0,0,0,0,8.75
function@_Z16post_fl_thinkingP7state_tiiPci,0,0,0,0,0,17,0,0,0,0,7.4375
function@_Z21post_multipv_thinkingP7state_tiii,3,1,0,4,0,33,144,0.25,24.25,0,812.5
function@_Z6rinputPciP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,52.2109
function@_Z12verify_coordP7state_tPcPi,1,0,0,1,0,11,4.6875,0,1,0,106.5
