"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMhuygens_modPuin,841,334,0,256,464,257,15327.6,6663.54,3273.25,8988.96,5751.88
function@_QMmaterial_modPmat_init,1987,693,0,1837,103,878,3.32082e+08,9.54232e+07,2.68339e+08,955527,9.13431e+07
function@_QMmaterial_modPmat_updatee,103,131,0,173,2,141,195301,168518,56454.4,416.476,99261.4
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,51,30,0,55,7,70,36693,15809.9,8558.86,6724.12,23606.9
function@_QMpower_modPpower_stop,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_dft,62,21,0,35,6,38,8245.65,29055.4,5688.78,9.46296,19010.3
function@_QMpower_modPpower_print,28,19,0,26,11,38,798.58,3026.04,58.4375,8.93359,1541.81
function@_QMpower_modPpower_intere,11,21,0,16,0,29,3.66667,7,13.3333,0,17
function@_QMpower_modPpower_interh,31,19,0,24,0,28,10.3333,6.33333,16.3333,0,16.6667
function@_QMpower_modPread_power,10,5,0,12,2,74,37.0559,207.307,227.876,0.859375,2451.04
function@_QMpower_modPpower_updateh,57,60,0,84,10,71,2185.39,3250.48,1298.56,191.79,1496.39
function@timer_,0,0,0,0,0,5,0,0,0,0,3.85714
function@leapfrog_,44,69,0,66,15,76,3663.86,4647.81,1890.23,13.6133,5194.48
function@_QMpec_modPpec_read,0,1,0,0,2,21,0,0.375,0,0.738281,56.5156
function@_QMpec_modPpec_init,668,359,0,442,50,440,301258,145205,125174,3726.24,203926
function@_QMpec_modPpec_apply,17,25,0,42,0,28,338.938,498.438,147.375,0,196.188
function@_QMpec_modPpec_end,0,0,0,0,0,3,0,0,0,0,1.2
function@_QQmain,13,16,0,29,0,74,8.125,21.875,18.125,0,52.5
