"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@putdist,11,0,0,6,0,31,72626.2,0,116.795,0,71425.7
function@putmatrix,0,0,0,0,0,46,0,0,0,0,37.4408
function@initres,0,0,0,0,0,1,0,0,0,0,1
function@makebonds,0,0,0,0,0,13,0,0,0,0,160
function@chirvol,0,0,0,0,0,0,0,0,0,0,0
function@nrerror,0,0,0,0,0,1,0,0,0,0,1
function@vector,0,0,0,0,0,3,0,0,0,0,2
function@ivector,0,0,0,0,0,1,0,0,0,0,1
function@ipvector,0,0,0,0,0,1,0,0,0,0,1
function@matrix,0,0,0,0,0,5,0,0,0,0,5
function@imatrix,0,0,0,0,0,5,0,0,0,0,5
function@free_vector,0,0,0,0,0,0,0,0,0,0,0
function@free_ivector,0,0,0,0,0,0,0,0,0,0,0
function@free_matrix,0,0,0,0,0,1,0,0,0,0,1
function@free_imatrix,0,0,0,0,0,1,0,0,0,0,1
function@errormsg,0,0,0,0,0,2,0,0,0,0,2
function@errormsg_s,0,0,0,0,0,1,0,0,0,0,1
function@errormsg_2s,0,0,0,0,0,1,0,0,0,0,1
function@errormsg_d,0,0,0,0,0,1,0,0,0,0,1
function@errors,0,0,0,0,0,0,0,0,0,0,0
function@seconds,0,0,0,0,0,0,0,0,0,0,0
function@myroc,0,0,0,0,0,1,0,0,0,0,0.380952
function@get_blocksize,0,0,0,0,0,0,0,0,0,0,0
function@mpierror,0,0,0,0,0,0,0,0,0,0,0
function@reducerror,0,0,0,0,0,0,0,0,0,0,0
function@mpiinit,0,0,0,0,0,0,0,0,0,0,0
function@getxyz,0,0,0,0,0,0,0,0,0,0,0
function@getxyzw,0,0,0,0,0,13,0,0,0,0,14.1289
function@putxyz,0,0,0,0,0,0,0,0,0,0,0
function@putxyzw,0,0,0,0,0,15,0,0,0,0,48.5
function@strindex,0,0,0,0,0,7,0,0,0,0,4.41176
function@getxv,6,0,0,2,0,16,25.9844,0,2,0,11.9102
function@putxv,0,0,0,0,0,22,0,0,0,0,76.8906
function@checkpoint,0,0,0,0,0,28,0,0,0,0,39.932
function@mme_timer,0,0,0,0,0,0,0,0,0,0,0
function@mme_init,1,0,0,1,0,45,0.499997,0,1,0,43.7551
function@mme34,143,0,0,72,0,73,3224.8,0,1180.94,0,787.265
function@mme,0,0,0,0,0,0,0,0,0,0,0
function@mme4,0,0,0,0,0,0,0,0,0,0,0
function@mm_set_checkpoint,0,0,0,0,0,4,0,0,0,0,3.66667
function@md,45,0,0,16,0,66,158.895,0,15.4121,0,86.7752
function@ebond,16,0,0,16,0,3,0.000305176,0,0.000305176,0,1.00004
function@eangl,26,0,0,24,0,17,380.001,0,323.25,0,41.0003
function@ephi,158,0,0,75,0,35,607.832,0,586.243,0,197.961
function@nbond,26,0,0,25,0,34,320.784,0,37.7824,0,587.16
function@setseed,0,0,0,0,0,0,0,0,0,0,0
function@rseed,0,0,0,0,0,0,0,0,0,0,0
function@gauss,0,0,0,0,0,4,0,0,0,0,3
function@main,0,0,0,0,0,20,0,0,0,0,19.5
function@setpoint,0,0,0,0,0,9,0,0,0,0,16.3429
function@select_atoms,11,0,0,4,0,125,622.9,0,27.7519,0,533526
function@atom_in_aexpr,1,0,0,1,0,79,1.20884,0,1.79245,0,199.677
function@set_attr_if,0,0,0,0,0,3,0,0,0,0,279.75
function@clear_attr,0,0,0,0,0,3,0,0,0,0,279.75
function@is_pattern,0,0,0,0,0,12,0,0,0,0,4.01307
function@match_atom_pat,0,0,0,0,0,5,0,0,0,0,2274
