"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_set_caret_X,0,0,0,0,0,0,0,0,0,0,0
function@Perl_Slab_Alloc,0,0,0,0,0,14,0,0,0,0,5.56452
function@Perl_Slab_Free,0,0,0,0,0,2,0,0,0,0,15.9375
function@Perl_opslab_free,0,0,0,0,0,1,0,0,0,0,31.875
function@Perl_opslab_free_nopad,0,0,0,0,0,5,0,0,0,0,65.8571
function@Perl_opslab_force_free,0,0,0,0,0,5,0,0,0,0,119.441
function@Perl_op_free,30,0,0,6,0,4,138,0,28.2941,0,93.0588
function@Perl_allocmy,0,0,0,0,0,12,0,0,0,0,6.51099
function@S_find_and_forget_pmops,0,0,0,0,0,2,0,0,0,0,11.6364
function@Perl_op_clear,0,0,0,0,0,20,0,0,0,0,5.10522
function@S_op_clear_gv,0,0,0,0,0,4,0,0,0,0,1.44037
function@Perl_ck_ftst,0,0,0,0,0,10,0,0,0,0,2.48974
function@Perl_op_null,0,0,0,0,0,2,0,0,0,0,1.66667
function@Perl_op_refcnt_lock,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_refcnt_unlock,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_sibling_splice,0,0,0,0,0,14,0,0,0,0,29.7642
function@Perl_custom_op_get_field,0,0,0,0,0,21,0,0,0,0,9.85937
function@S_op_sibling_newUNOP,0,0,0,0,0,14,0,0,0,0,14
function@Perl_newUNOP,0,0,0,0,0,9,0,0,0,0,4.63281
function@S_alloc_LOGOP,0,0,0,0,0,4,0,0,0,0,19.5
function@Perl_op_contextualize,0,0,0,0,0,1,0,0,0,0,0.25
function@Perl_scalar,0,0,0,0,0,14,0,0,0,0,2.55026
function@Perl_list,0,0,0,0,0,27,0,0,0,0,3.85061
function@Perl_scalarvoid,19,0,0,6,0,28,20.802,0,2.68849,0,20.0604
function@Perl_op_linklist,0,0,0,0,0,7,0,0,0,0,12.4066
function@S_op_varname,0,0,0,0,0,0,0,0,0,0,0
function@S_op_pretty,0,0,0,0,0,1,0,0,0,0,1
function@S_no_bareword_allowed,0,0,0,0,0,1,0,0,0,0,1
function@S_inplace_aassign,0,0,0,0,0,2,0,0,0,0,0.00117349
function@S_scalarkids,0,0,0,0,0,2,0,0,0,0,2
function@S_gen_constant_list,0,0,0,0,0,14,0,0,0,0,7.2451
function@S_listkids,0,0,0,0,0,3,0,0,0,0,8.375
function@Perl_newSVOP,0,0,0,0,0,8,0,0,0,0,6
function@S_check_hash_fields_and_hekify,0,0,0,0,0,25,0,0,0,0,19.6763
function@Perl_finalize_optree,0,0,0,0,0,2,0,0,0,0,2
function@S_finalize_op,0,0,0,0,0,9,0,0,0,0,11.3138
function@S_scalar_slice_warning,0,0,0,0,0,11,0,0,0,0,0.0473874
function@Perl_op_lvalue_flags,0,0,0,0,0,45,0,0,0,0,4.29435
function@S_modkids,0,0,0,0,0,5,0,0,0,0,15.75
function@S_scalar_mod_type,0,0,0,0,0,3,0,0,0,0,2.01645
function@Perl_doref,0,0,0,0,0,9,0,0,0,0,5.46856
function@S_mark_padname_lvalue,0,0,0,0,0,0,0,0,0,0,0
function@S_vivifies,0,0,0,0,0,2,0,0,0,0,1.09091
function@S_lvref,0,0,0,0,0,9,0,0,0,0,8.3757
function@Perl_apply_attrs_string,0,0,0,0,0,44,0,0,0,0,717.857
