"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMhuygens_modPhuygensh,3120,837,0,1036,1030,274,124384,23322.4,15752.8,19642.1,13091.1
function@_QMhuygens_modPhuygense,3756,1058,0,1301,1229,310,149419,30547.3,19526.7,21711.2,16824
function@_QMhuygens_modPuin,1505,393,0,134,665,89,29328.3,7013.03,2065.14,10671.9,2571.43
function@_QMmaterial_modPmat_init,3808,1257,0,1850,983,210,8.20083e+08,7.56278e+07,2.52303e+08,3.61436e+07,3.44333e+07
function@_QMmaterial_modPmat_updatee,211,162,0,196,91,33,291877,184801,98403.8,5362.52,60696.8
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,111,84,0,66,51,43,72552.4,54321,9905.58,8790.89,18370.4
function@_QMpower_modPpower_stop,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_dft,86,37,0,33,21,20,22253.1,29746.9,5312.63,331.926,14185.7
function@_QMpower_modPpower_print,61,28,0,30,15,27,2888.41,3028.73,41.3945,31.0938,1548.09
function@_QMpower_modPpower_intere,21,46,0,23,10,16,15.6667,19.6667,18.6667,7.16667,6
function@_QMpower_modPpower_interh,79,44,0,48,17,9,34.3333,18,27,8.83333,4.33333
function@_QMpower_modPread_power,31,36,0,22,8,69,185.423,376.222,226.732,96.1721,2306.82
function@_QMpower_modPpower_updateh,110,72,0,72,89,21,3898.72,3330.32,1158.04,714.099,762.84
function@timer_,0,0,0,0,0,5,0,0,0,0,3.85714
function@leapfrog_,68,105,0,63,49,44,3071.09,5999.52,804.875,135.078,2553.31
function@_QMpec_modPpec_read,0,1,0,0,2,21,0,0.375,0,0.738281,56.5156
function@_QMpec_modPpec_init,925,501,0,466,322,175,456647,120907,202140,98939.1,104678
function@_QMpec_modPpec_apply,39,32,0,44,22,12,436.688,505.438,112.625,112.562,65.4375
function@_QMpec_modPpec_end,0,0,0,0,0,3,0,0,0,0,1.2
function@_QQmain,22,25,0,45,18,71,13.75,15.625,28.125,11.25,50.625
