"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMhuygens_modPhuygensh,3120,833,0,1032,1034,274,124384,23320.7,15751,19643.9,13091.1
function@_QMhuygens_modPhuygense,3756,1059,0,1302,1228,310,149419,30547.4,19526.7,21711.1,16824
function@_QMhuygens_modPuin,1505,393,0,134,665,89,29328.3,7013.03,2065.14,10671.9,2571.43
function@_QMmaterial_modPmat_init,3823,1255,0,1854,991,207,8.31783e+08,7.56271e+07,2.57252e+08,3.84646e+07,3.21833e+07
function@_QMmaterial_modPmat_updatee,201,167,0,194,87,34,242100,185767,66100.1,12523.5,60950.7
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,111,84,0,66,51,42,72552.4,54321,9919.95,8790.89,18355.4
function@_QMpower_modPpower_stop,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_dft,86,36,0,32,22,20,22253.1,29744.5,5310.26,334.296,14185.7
function@_QMpower_modPpower_print,61,27,0,29,16,27,2888.41,3028.5,41.1602,31.3281,1548.09
function@_QMpower_modPpower_intere,19,47,0,22,12,17,16.3333,20,19,8.66667,5.66667
function@_QMpower_modPpower_interh,64,51,0,43,18,13,30.6667,20.3333,26,10,5
function@_QMpower_modPread_power,31,36,0,22,8,69,185.423,376.222,226.732,96.1721,2306.82
function@_QMpower_modPpower_updateh,109,73,0,73,87,21,3895.57,3333.07,1161.18,708.198,762.84
function@timer_,0,0,0,0,0,5,0,0,0,0,3.85714
function@leapfrog_,68,105,0,63,49,44,3071.09,5999.52,804.875,135.078,2553.31
function@_QMpec_modPpec_read,0,1,0,0,2,21,0,0.375,0,0.738281,56.5156
function@_QMpec_modPpec_init,911,505,0,467,323,186,456645,120907,202138,98938.9,104679
function@_QMpec_modPpec_apply,39,32,0,44,22,9,436.688,505.438,112.625,112.562,63.5625
function@_QMpec_modPpec_end,0,0,0,0,0,3,0,0,0,0,1.2
function@_QQmain,22,25,0,45,18,71,13.75,15.625,28.125,11.25,50.625
