"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_Slab_Alloc,0,0,0,0,0,14,0,0,0,0,5.56452
function@Perl_Slab_Free,0,0,0,0,0,3,0,0,0,0,9.21875
function@Perl_opslab_free,0,0,0,0,0,1,0,0,0,0,31.875
function@Perl_opslab_free_nopad,0,0,0,0,0,5,0,0,0,0,65.8571
function@Perl_opslab_force_free,0,0,0,0,0,5,0,0,0,0,119.441
function@Perl_op_free,0,0,0,0,0,14,0,0,0,0,114.882
function@Perl_allocmy,0,0,0,0,0,12,0,0,0,0,6.51099
function@S_find_and_forget_pmops,0,0,0,0,0,2,0,0,0,0,11.6364
function@Perl_op_clear,0,0,0,0,0,20,0,0,0,0,5.10522
function@S_op_clear_gv,0,0,0,0,0,4,0,0,0,0,1.44037
function@Perl_ck_ftst,0,0,0,0,0,10,0,0,0,0,2.48974
function@Perl_op_null,0,0,0,0,0,2,0,0,0,0,1.66667
function@Perl_op_sibling_splice,0,0,0,0,0,14,0,0,0,0,29.7642
function@Perl_custom_op_get_field,0,0,0,0,0,21,0,0,0,0,9.98437
function@S_op_sibling_newUNOP,0,0,0,0,0,14,0,0,0,0,14
function@Perl_newUNOP,0,0,0,0,0,9,0,0,0,0,4.63281
function@S_alloc_LOGOP,0,0,0,0,0,4,0,0,0,0,19.5
function@Perl_op_contextualize,0,0,0,0,0,1,0,0,0,0,0.25
function@Perl_scalar,0,0,0,0,0,14,0,0,0,0,2.55026
function@Perl_list,0,0,0,0,0,27,0,0,0,0,3.85061
function@Perl_scalarvoid,1,0,0,1,0,41,0.000323559,0,0.000647118,0,26.4295
function@Perl_op_linklist,0,0,0,0,0,7,0,0,0,0,12.4066
function@S_op_varname,0,0,0,0,0,0,0,0,0,0,0
function@S_op_pretty,0,0,0,0,0,1,0,0,0,0,1
function@S_no_bareword_allowed,0,0,0,0,0,1,0,0,0,0,1
function@S_inplace_aassign,0,0,0,0,0,2,0,0,0,0,0.00117349
function@S_scalarkids,0,0,0,0,0,2,0,0,0,0,2
function@S_gen_constant_list,0,0,0,0,0,14,0,0,0,0,7.2451
function@S_listkids,0,0,0,0,0,3,0,0,0,0,8.375
function@S_check_hash_fields_and_hekify,0,0,0,0,0,25,0,0,0,0,19.6763
function@Perl_finalize_optree,0,0,0,0,0,2,0,0,0,0,2
function@S_finalize_op,0,0,0,0,0,9,0,0,0,0,11.3138
function@Perl_op_lvalue_flags,0,0,0,0,0,45,0,0,0,0,4.29435
function@S_modkids,0,0,0,0,0,5,0,0,0,0,15.75
function@S_scalar_mod_type,0,0,0,0,0,3,0,0,0,0,2.01645
function@Perl_doref,0,0,0,0,0,9,0,0,0,0,5.46856
function@S_mark_padname_lvalue,0,0,0,0,0,0,0,0,0,0,0
function@S_vivifies,0,0,0,0,0,2,0,0,0,0,1.09091
function@S_lvref,0,0,0,0,0,9,0,0,0,0,8.3757
function@Perl_apply_attrs_string,0,0,0,0,0,44,0,0,0,0,717.857
function@Perl_op_append_elem,0,0,0,0,0,7,0,0,0,0,3.5092
function@Perl_newSVOP,0,0,0,0,0,8,0,0,0,0,6
function@Perl_load_module,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_prepend_elem,0,0,0,0,0,11,0,0,0,0,6.8618
function@Perl_my_attrs,0,0,0,0,0,16,0,0,0,0,7.53516
function@S_my_kid,0,0,0,0,0,12,0,0,0,0,5.8934
function@Perl_op_append_list,0,0,0,0,0,10,0,0,0,0,4.43731
function@Perl_sawparens,0,0,0,0,0,0,0,0,0,0,0
function@Perl_bind_match,0,0,0,0,0,35,0,0,0,0,323.831
function@Perl_newBINOP,0,0,0,0,0,15,0,0,0,0,9.12891
function@Perl_pmruntime,65,0,0,42,0,164,38.9743,0,21.2695,0,62.2916
function@Perl_newPMOP,0,0,0,0,0,6,0,0,0,0,4.5
function@Perl_invert,0,0,0,0,0,3,0,0,0,0,2.2381
function@Perl_op_scope,0,0,0,0,0,8,0,0,0,0,3.8
function@Perl_newOP,0,0,0,0,0,5,0,0,0,0,3
function@Perl_newLISTOP,0,0,0,0,0,11,0,0,0,0,6.90476
function@Perl_op_unscope,0,0,0,0,0,3,0,0,0,0,5.175
function@Perl_block_start,0,0,0,0,0,11,0,0,0,0,20.9062
function@Perl_block_end,0,0,0,0,0,24,0,0,0,0,80.9844
function@S_scalarseq,0,0,0,0,0,4,0,0,0,0,14.375
function@Perl_newSTATEOP,0,0,0,0,0,22,0,0,0,0,13.7231
function@Perl_blockhook_register,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newPROG,0,0,0,0,0,16,0,0,0,0,4.2967
function@Perl_localize,0,0,0,0,0,11,0,0,0,0,3.05554
function@Perl_jmaybe,0,0,0,0,0,14,0,0,0,0,4.96471
function@Perl_newSVREF,0,0,0,0,0,4,0,0,0,0,2.5
function@Perl_newGVOP,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_convert_list,0,0,0,0,0,16,0,0,0,0,6.05882
function@S_force_list,0,0,0,0,0,9,0,0,0,0,4.67647
function@S_fold_constants,5,0,0,2,0,47,0.148867,0,0.223301,0,8.52033
function@Perl_newUNOP_AUX,0,0,0,0,0,9,0,0,0,0,6.69048
function@Perl_newMETHOP,0,0,0,0,0,12,0,0,0,0,6.06618
function@Perl_newMETHOP_named,0,0,0,0,0,3,0,0,0,0,3
function@Perl_newATTRSUB_x,47,0,0,16,0,182,6.44723,0,5.05386,0,25.0962
function@S_set_haseval,0,0,0,0,0,1,0,0,0,0,3.2381
function@Perl_newDEFSVOP,0,0,0,0,0,7,0,0,0,0,3.76471
function@Perl_newPVOP,0,0,0,0,0,8,0,0,0,0,6
function@Perl_package,0,0,0,0,0,6,0,0,0,0,6
function@Perl_package_version,0,0,0,0,0,2,0,0,0,0,2
function@Perl_utilize,0,0,0,0,0,96,0,0,0,0,35.9906
function@Perl_vload_module,0,0,0,0,0,24,0,0,0,0,22.8529
function@Perl_dofile,0,0,0,0,0,8,0,0,0,0,3.82353
function@Perl_newSLICEOP,0,0,0,0,0,8,0,0,0,0,8
function@Perl_newASSIGNOP,0,0,0,0,0,60,0,0,0,0,12.6714
function@Perl_newLOGOP,0,0,0,0,0,0,0,0,0,0,0
function@S_assignment_type,0,0,0,0,0,6,0,0,0,0,1.72786
function@S_new_logop,0,0,0,0,0,40,0,0,0,0,29.678
function@Perl_newCONDOP,0,0,0,0,0,51,0,0,0,0,37.6614
function@Perl_newRANGE,0,0,0,0,0,27,0,0,0,0,38.3429
function@Perl_newLOOPOP,0,0,0,0,0,27,0,0,0,0,11.8263
function@Perl_newWHILEOP,0,0,0,0,0,46,0,0,0,0,21.5155
function@Perl_newFOROP,2,0,0,1,0,60,0.0615836,0,0.0615836,0,26.8065
function@Perl_newLOOPEX,0,0,0,0,0,21,0,0,0,0,7.25
function@Perl_newGIVENOP,0,0,0,0,0,4,0,0,0,0,4
function@S_newGIVWHENOP,0,0,0,0,0,21,0,0,0,0,31.4118
function@S_ref_array_or_hash,0,0,0,0,0,3,0,0,0,0,0.913043
function@Perl_newWHENOP,0,0,0,0,0,13,0,0,0,0,7.24
function@S_looks_like_bool,0,0,0,0,0,5,0,0,0,0,1.63576
function@Perl_cv_ckproto_len_flags,0,0,0,0,0,60,0,0,0,0,9.72752
function@Perl_cv_const_sv,0,0,0,0,0,5,0,0,0,0,0.944785
function@Perl_cv_const_sv_or_av,0,0,0,0,0,2,0,0,0,0,0.529412
function@Perl_newMYSUB,33,0,0,25,0,93,5.01146,0,6.18821,0,24.3276
function@S_move_proto_attr,0,0,0,0,0,28,0,0,0,0,9.52018
function@S_perl_hash_one_at_a_time_hard,0,0,0,0,0,0,0,0,0,0,0
function@S_op_const_sv,0,0,0,0,0,22,0,0,0,0,6.19158
function@S_already_defined,0,0,0,0,0,12,0,0,0,0,7.35165
function@const_sv_xsub,0,0,0,0,0,2,0,0,0,0,0.96
function@S_apply_attrs,0,0,0,0,0,27,0,0,0,0,15.4312
function@Perl_newCONSTSUB_flags,1,0,0,1,0,20,0.15625,0,0.15625,0,13.1875
function@S_process_special_blocks,0,0,0,0,0,23,0,0,0,0,8.37537
function@Perl_newCONSTSUB,0,0,0,0,0,10,0,0,0,0,6.85714
function@Perl_newXS_len_flags,0,0,0,0,0,33,0,0,0,0,18.5895
function@const_av_xsub,0,0,0,0,0,6,0,0,0,0,1.2549
function@Perl_newXS,0,0,0,0,0,15,0,0,0,0,8.60714
function@Perl_newXS_flags,0,0,0,0,0,16,0,0,0,0,10.8571
function@Perl_newXS_deffile,0,0,0,0,0,12,0,0,0,0,6.7619
function@Perl_report_redefined_cv,0,0,0,0,0,41,0,0,0,0,5.39044
function@Perl_newSTUB,0,0,0,0,0,10,0,0,0,0,8.36996
function@Perl_newFORM,0,0,0,0,0,17,0,0,0,0,9.75893
function@Perl_newANONLIST,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newANONHASH,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newANONSUB,0,0,0,0,0,7,0,0,0,0,6
function@Perl_newANONATTRSUB,0,0,0,0,0,8,0,0,0,0,7
function@Perl_oopsAV,0,0,0,0,0,4,0,0,0,0,2.76923
function@Perl_oopsHV,0,0,0,0,0,4,0,0,0,0,2.8
function@Perl_newAVREF,0,0,0,0,0,4,0,0,0,0,2.75
function@Perl_newGVREF,0,0,0,0,0,3,0,0,0,0,2.25
function@Perl_newHVREF,0,0,0,0,0,4,0,0,0,0,2.75
function@Perl_newCVREF,0,0,0,0,0,5,0,0,0,0,5
function@Perl_ck_anoncode,0,0,0,0,0,3,0,0,0,0,3
function@Perl_ck_backtick,0,0,0,0,0,15,0,0,0,0,5.42647
function@Perl_ck_bitop,0,0,0,0,0,2,0,0,0,0,2
function@Perl_ck_cmp,0,0,0,0,0,4,0,0,0,0,2.00381
