"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z14elo_to_blunderi,0,0,0,0,0,0,0,0,0,0,0
function@_Z12compact_movei,0,0,0,0,0,3,0,0,0,0,3
function@_Z4logLi,0,0,0,0,0,2,0,0,0,0,16.4375
function@_Z13allocate_timeP11gamestate_ti,0,0,0,0,0,5,0,0,0,0,0.897059
function@_Z11comp_to_sanP7state_tiPc,1,23,0,8,0,14,0.754717,7.35997,4.22189,0,17.4941
function@_Z13comp_to_coordP7state_tiPc,0,11,0,2,0,8,0,0.93865,1.25153,0,4.81595
function@_Z13display_boardP7state_ti,0,0,0,0,0,3,0,0,0,0,47.8125
function@_Z8myprintfPKcz,0,0,0,0,0,1,0,0,0,0,0.625
function@_Z9init_gameP11gamestate_tP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z18reset_piece_squareP7state_t,0,0,0,0,0,2,0,0,0,0,63.75
function@_Z7is_movePc,0,0,0,0,0,0,0,0,0,0,0
function@_Z20extract_current_pathP7state_t,0,0,0,0,0,5,0,0,0,0,53
function@_Z19extract_ponder_moveP7state_t,0,1,0,1,0,6,0,10,0.3125,0,41.1953
function@_Z24extract_current_bestlineP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_ZL15hash_extract_pvP7state_tiPc,4,2,0,3,1,9,0.239335,3.49206,2.09921,0.507936,31.0144
function@_Z12stringize_pvP7state_tPc,0,0,0,0,0,0,0,0,0,0,0
function@_Z13post_thinkingP7state_tiiPci,0,1,0,1,0,5,0,0.15625,0.15625,0,1.625
function@_Z16post_fh_thinkingP7state_tiiPci,0,4,0,2,0,3,0,0.625,0.625,0,0.625
function@_Z16post_fl_thinkingP7state_tiiPci,0,1,0,1,0,3,0,0.15625,0.15625,0,0.625
function@_Z21post_multipv_thinkingP7state_tiii,4,5,0,8,0,15,392,129,281,0,558
function@_Z6rinputPciP8_IO_FILE,0,0,0,0,0,7,0,0,0,0,29.875
function@_Z12verify_coordP7state_tPcPi,0,0,0,0,0,5,0,0,0,0,49.5
function@_Z17input_causes_stopv,0,0,0,0,0,8,0,0,0,0,2.27344
