"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN20ComputeNonbondedUtil25calc_self_merge_fullelectEP9nonbonded,294,19,0,113,2,192,533.706,103.56,112.786,0.373626,270.626
function@_ZN20ComputeNonbondedUtil32calc_self_energy_merge_fullelectEP9nonbonded,287,29,0,121,2,179,1132.24,199.059,198.94,0.373626,278.545
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,296,38,0,139,10,187,401.768,58.6442,131.65,0.965659,459.446
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,278,37,0,143,8,191,498.994,58.5275,143.191,0.708791,443.501
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,355,45,0,169,1,175,1721.84,398.949,964.781,0.186813,258.036
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,447,53,0,219,0,197,3422.11,891.338,2301.83,0,679.058
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,398,47,0,168,2,185,2062.26,403.323,1003.49,0.373626,242.573
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,305,54,0,154,10,198,1331.95,365.834,678.295,0.965659,227.975
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,368,60,0,187,8,213,2377.52,679.953,1399.89,0.708791,632.497
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,327,56,0,159,10,193,1426.84,424.837,805.652,0.965659,234.673
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN8MoleculeC2Ev,0,0,0,0,0,5,0,0,0,0,2
function@_ZN8MoleculeD2Ev,0,0,0,0,0,3,0,0,0,0,1.85185
function@_ZN8Molecule8readfileEP8_IO_FILE,4,0,0,2,0,13,0.793521,0,0.307617,0,6.22168
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,6,0,0,0,0,27.25
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,7,0,0,7,0,12,1.97647,0,1.97647,0,4.96471
function@_Z9dummy_erfi,0,0,0,0,0,1,0,0,0,0,1
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,25,0,0,0,0,3.00001
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,20,0,0,0,0,7.70588
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,0,0,0,0,0,6,0,0,0,0,6
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,89,0,0,0,0,8.44287
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,4,0,0,0,0,3.38095
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,4,0,0,0,0,3.38095
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,15,0,0,0,0,12.5706
function@_ZN7Lattice3setE6VectorS0_S0_S0_,2,0,0,1,0,7,0.313726,0,0.294118,0,2.92157
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,3,0,0,0,0,2.2381
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,3,0,0,3,0,20,0.109015,0,0.20419,0,7.15502
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,44.5
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,306,37,0,143,2,173,691.857,207.617,121.559,0.373626,284.287
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,15,4,0,17,0,18,93.72,40.8,64.72,0,115.8
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,297,31,0,137,2,163,1121.03,431.65,490.699,0.373626,283.038
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,389,31,0,181,0,190,2570.44,359.996,1398.66,0,738.672
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,393,36,0,196,0,208,3382.6,725.889,2221.16,0,912.496
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,330,35,0,149,2,177,853.592,125.688,140.798,0.373626,306.711
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,348,28,0,152,2,171,1795.81,275.519,820.095,0.373626,295.413
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,288,36,0,148,1,196,480.924,68.647,155.898,0.186813,456.931
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,307,41,0,151,2,193,932.933,208.496,160.114,0.373626,461.552
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,260,39,0,121,8,180,441.744,204.813,104.499,0.708791,261.111
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,263,39,0,123,8,182,874.401,276.128,111.812,0.708791,261.968
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,305,40,0,148,12,198,1235.78,413.265,150.997,1.3283,586.975
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,316,54,0,168,13,188,2339.67,797.863,1410.23,1.51511,713.022
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,292,27,0,114,8,173,468.659,122.26,113.887,0.708791,263.401
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,285,31,0,119,11,176,1062.85,192.122,199.405,1.14698,269.129
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,281,39,0,139,10,205,416.787,58.831,138.863,0.965659,453.516
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,294,31,0,144,10,208,482.074,44.4354,144.365,0.965659,473.856
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,363,36,0,132,3,202,1801.58,781.905,358.142,0.56044,591.446
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,15,4,0,17,0,18,93.72,40.8,64.72,0,115.8
