"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMmaterial_modPmat_init,246,0,0,138,0,545,452980,0,41886.1,0,2.99414e+06
function@_QMmaterial_modPmat_updatee,175,0,0,108,0,16,183669,0,4477.29,0,16921.5
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,2,0,0,1,0,166,2,0,1,0,77.875
function@_QMpower_modPpower_stop,0,0,0,0,0,10,0,0,0,0,455.833
function@_QMpower_modPpower_dft,11,0,0,11,0,15,785.574,0,33.7963,0,842.13
function@_QMpower_modPpower_print,1,0,0,1,0,63,0.375,0,0.375,0,35.2617
function@_QMpower_modPpower_intere,0,0,0,0,0,23,0,0,0,0,3.57007e-09
function@_QMpower_modPpower_interh,0,0,0,0,0,23,0,0,0,0,3.57007e-09
function@_QMpower_modPread_power,117,0,0,14,0,254,14029.3,0,17.6932,0,6920.91
function@_QMpower_modPpower_updateh,24,0,0,17,0,21,5.2,0,15.4,0,43.1
function@timer_,0,0,0,0,0,11,0,0,0,0,7.57143
function@leapfrog_,113,0,0,40,0,144,860.877,0,47.1953,0,2259.2
function@_QMpec_modPpec_read,2,0,0,2,0,119,0.738281,0,0.738281,0,286.425
function@_QMpec_modPpec_init,125,0,0,97,0,384,13334,0,5957.88,0,98060.2
function@_QMpec_modPpec_apply,0,0,0,0,0,0,0,0,0,0,0
function@_QMpec_modPpec_end,0,0,0,0,0,9,0,0,0,0,3.6
function@_QQmain,22,0,0,22,0,208,25.625,0,13.75,0,167.109
