"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@x264_nal_start,0,0,0,0,0,0,0,0,0,0,0
function@x264_nal_end,0,0,0,0,0,4,0,0,0,0,3.5
function@x264_encoder_encapsulate_nals,28,5,0,16,0,49,85.3572,52.7619,59.5714,0,372.786
function@x264_weighted_reference_duplicate,0,0,0,0,0,1,0,0,0,0,0.5
function@x264_encoder_intra_refresh,0,0,0,0,0,0,0,0,0,0,0
function@x264_encoder_encode,147,21,0,34,22,110,161.973,85.4805,16.4377,1.37268,82.4562
function@x264_encoder_frame_end,61,8,0,30,0,74,403.387,1.43615,13.6151,0,221.127
function@x264_reference_check_reorder,0,0,0,0,0,4,0,0,0,0,16.1905
function@x264_threaded_slices_write,31,6,0,20,2,41,975.375,43.975,126.5,10.525,3305.5
function@x264_slices_write,137,30,0,105,11,399,749.346,371.409,561.772,19.2305,2306.94
function@x264_encoder_close,147,93,0,227,4,55,53722.8,12887.4,42781.3,21.7656,27049.8
function@x264_encoder_delayed_frames,0,2,0,1,0,6,0,10.7742,0.483871,0,36.4516
function@x264_slice_header_init,2,1,0,3,0,12,25.0941,12.5471,13.3235,0,32.3353
function@x264_fdec_filter_row,44,12,0,19,2,21,80.1274,11.5882,31.6569,1.37255,37.7745
function@x264_macroblock_write_cavlc,90,5,0,58,3,217,30.2031,12.2939,33.0513,1.67196,88.8719
function@bs_write_ue,0,0,0,0,0,4,0,0,0,0,4
function@bs_write_te,0,0,0,0,0,4,0,0,0,0,2.5
function@cavlc_mb_mvd,2,0,0,2,0,9,2,0,2,0,7
function@block_residual_write_cavlc,36,13,0,26,1,24,123.625,30.25,111.75,1,93.25
function@block_residual_write_cavlc_escape,5,1,0,5,0,19,2.98425,1,3.48819,0,11.3858
function@x264_cabac_mb_skip,0,0,0,0,0,0,0,0,0,0,0
function@x264_macroblock_write_cabac,33,16,0,28,16,194,13.249,15.8865,18.1355,1.1493,100.968
function@x264_cabac_mb_ref,0,0,0,0,0,3,0,0,0,0,41.5714
function@x264_cabac_mb_mvd,1,1,0,2,0,5,1,1,2,0,5
function@block_residual_write_cabac,18,13,0,14,0,18,226.161,119.007,186.5,0,93.1363
function@x264_cabac_mb_type_intra,0,0,0,0,0,3,0,0,0,0,2.24706
function@x264_cabac_mb_mvd_cpn,1,0,0,1,0,5,5,0,0.156863,0,7.58823
function@x264_rd_cost_part,17,26,0,31,1,73,6.64714,1.41249,6.67399,0.195312,55.7546
function@x264_rd_cost_mb,156,15,0,21,0,65,11.6659,4.82186,9.90625,0,16.737
function@ssd_plane,15,1,0,10,0,15,2.41758,0.043956,1.86813,0,3.25824
function@x264_rdo_init,22,1,0,22,0,33,2693.25,8191.88,1119.25,0,23483.9
function@x264_quant_dc_trellis,0,0,0,0,0,1,0,0,0,0,1
function@quant_trellis_cabac,64,21,0,58,16,69,7531.48,3706.35,2648.02,66.8571,9807.55
function@x264_quant_4x4_trellis,1,1,0,2,0,3,1,1,2,0,3
function@x264_quant_8x8_trellis,0,1,0,1,0,3,0,1,1,0,3
