Comando: /home/mpvreal/Code/Faculdade/tcc/llvm/build/bin/llc --march=x86 --regalloc=basic -o -
Heurística: div(cost,pow(degree,2))
function@flux_,2757,171,0,254,674,49,3.54088e+06,46079.4,211719,595905,7043.61
function@_QQmain,0,4,0,2,0,28,0,4,2,0,26
function@jacobian_,299,20,0,82,79,10,1.96119e+06,50648.2,239669,395907,8963.68
function@fill1_,36,28,0,26,22,4,20256.4,11605.4,6355.65,1716.5,4608.45
function@shell_,1102,309,0,298,405,197,2.04938e+10,3.84197e+09,1.07715e+09,4.75396e+09,8.27742e+09
function@bi_cgstab_block_,481,173,0,162,214,46,1.86422e+08,2.06868e+07,1.31747e+07,2.80133e+07,1.71437e+07
function@mat_times_vec_,60,30,0,38,29,10,6.2415e+07,1.93897e+07,1.04516e+07,6.85741e+06,3.21602e+06
function@fill2_,28,16,0,19,16,5,4274.45,2055,792.6,132.25,667.1
