"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN20ComputeNonbondedUtil19calc_self_fullelectEP9nonbonded,627,110,0,177,55,99,5126.25,646.157,883.015,32.3036,509.468
function@_ZN20ComputeNonbondedUtil26calc_self_energy_fullelectEP9nonbonded,641,131,0,208,55,99,5655.6,1821.46,2290.54,32.3036,509.468
function@_ZN20ComputeNonbondedUtil25calc_self_merge_fullelectEP9nonbonded,469,113,0,148,52,105,4127.92,573.032,568.679,27.8915,224.206
function@_ZN20ComputeNonbondedUtil32calc_self_energy_merge_fullelectEP9nonbonded,479,114,0,156,52,105,4363.66,573.407,727.104,27.8915,224.206
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,558,112,0,168,58,84,3619.49,573.572,591.058,36.805,347.245
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,564,112,0,173,58,84,3840.04,573.572,810.86,36.805,347.245
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,588,159,0,205,58,75,3104.88,748.796,992.999,23.7445,193.209
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,662,206,0,261,40,90,6854.94,3401.36,4207.35,24.8929,488.143
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,614,129,0,196,54,83,4485.88,883.346,1332.69,22.3654,213.411
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,616,151,0,202,61,88,2550.74,1068.22,664.432,33.7898,175.189
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,679,209,0,251,56,104,5271.7,3466.92,3327.81,29.5604,442.96
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,620,144,0,188,53,101,3804.15,1358.13,1144.5,26.8626,203.379
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,3,6,0,2,0,7,1.49412,2.72941,1.24706,0,2.09412
function@_ZN8MoleculeC2Ev,0,0,0,0,0,6,0,0,0,0,3
function@_ZN8MoleculeD2Ev,0,0,0,0,0,3,0,0,0,0,1.85185
function@_ZN8Molecule8readfileEP8_IO_FILE,4,1,0,2,1,13,1.08372,0.245899,0.307617,0.245899,6.91995
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,7,0,0,0,0,28.25
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,11,9,0,5,2,7,3.96471,3.47059,3.49412,0.494118,3.98824
function@_Z9dummy_erfi,0,0,0,0,0,1,0,0,0,0,1
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,25,0,0,0,0,3.00001
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,20,0,0,0,0,7.70588
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,0,0,0,0,0,8,0,0,0,0,8
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,1,0,0,0,0,0.352941
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,3,6,0,2,0,7,1.49412,2.72941,1.24706,0,2.09412
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,3,0,0,0,0,2.35294
function@_GLOBAL__sub_I_Compute.C,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,89,0,0,0,0,8.44287
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,4,0,0,0,0,3.38095
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,4,0,0,0,0,3.38095
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,16,0,0,0,0,13.5706
function@_ZN7Lattice3setE6VectorS0_S0_S0_,0,4,0,1,0,0,0,1.96078,1,0,0
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,3,0,0,0,0,2.2381
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,7,3,0,3,0,19,0.219009,0.0443755,1.1392,0,7.133
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,44.5
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,531,106,0,172,51,81,3298.07,491.533,871.598,22.4313,237.551
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,47,12,0,15,3,15,366.92,74.64,30.68,6.36,104.28
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,446,99,0,160,54,95,3418.65,497.217,867.817,26.7431,245.703
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,625,147,0,225,56,78,5980.3,658.12,2025.92,27.9959,544.953
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,642,180,0,252,56,75,6365.84,2511.71,3728.98,27.9959,533.852
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,561,112,0,185,53,81,4383.38,575.484,1267.62,26.831,252.174
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,571,114,0,191,53,81,4611,579.371,1419.72,26.831,252.174
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,558,149,0,191,36,80,4061.36,588.482,1275.68,22.8475,382.71
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,568,110,0,188,52,77,4593.12,575.11,1478.87,23.1305,388.977
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,546,110,0,156,54,86,3121.86,496.772,429.022,31.5481,207.95
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,553,113,0,163,54,86,3284.27,497.897,583.791,31.5481,207.95
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,629,149,0,195,58,91,5156.32,650.703,900.173,37.7885,492.122
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,637,178,0,227,41,97,5087.03,2270.35,2542.08,39.7637,488.082
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,571,115,0,161,55,83,4177.23,573.26,580.793,33.3764,212.773
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,572,118,0,167,38,89,3729.19,579.12,754.175,35.3517,208.734
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,556,113,0,164,54,89,3636.45,575.4,583.603,31.5481,362.154
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,452,111,0,153,52,108,4657.46,572.658,788.293,27.8915,370.867
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,3,6,0,2,0,7,1.49412,2.72941,1.24706,0,2.09412
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,526,122,0,148,37,122,6097.85,868.831,774.528,24.3984,526.587
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,47,12,0,15,3,15,366.92,74.64,30.68,6.36,104.28
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,555,124,0,164,41,111,5269.84,884.585,910.168,26.2239,514.063
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,642,140,0,187,40,133,11046.1,1548.03,1723.25,30.2637,1139.03
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,674,180,0,211,39,133,12627.9,3927.51,2998.57,27.2143,1139.03
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,673,144,0,187,38,99,6738.54,1196.71,1120.4,22.6181,627.745
function@_ZN20ComputeNonbondedUtil38calc_pair_energy_merge_fullelect_pprofEP9nonbonded,684,149,0,195,38,99,6987.48,1382.95,1367.83,22.6181,627.745
function@_ZN20ComputeNonbondedUtil30calc_pair_slow_fullelect_pprofEP9nonbonded,537,124,0,153,36,134,6721.34,935.662,1077.31,23.7637,778.194
function@_ZN20ComputeNonbondedUtil37calc_pair_energy_slow_fullelect_pprofEP9nonbonded,522,169,0,186,39,122,6122.96,963.953,1278.98,23.2528,772.025
function@_ZN20ComputeNonbondedUtil15calc_self_pprofEP9nonbonded,545,137,0,154,34,132,5847.67,877.639,418.972,25.1813,438.492
function@_ZN20ComputeNonbondedUtil22calc_self_energy_pprofEP9nonbonded,561,186,0,179,35,122,4913.4,1446.69,688.69,26.3242,430.24
function@_ZN20ComputeNonbondedUtil25calc_self_fullelect_pprofEP9nonbonded,649,146,0,177,38,150,10199.2,1557.97,812.894,34.6209,1055.67
function@_ZN20ComputeNonbondedUtil32calc_self_energy_fullelect_pprofEP9nonbonded,657,214,0,224,46,150,9297.27,3372.64,2320.21,283.909,1055.67
function@_ZN20ComputeNonbondedUtil31calc_self_merge_fullelect_pprofEP9nonbonded,578,180,0,173,37,133,6294.49,1194.96,553.936,32.4945,560.55
function@_ZN20ComputeNonbondedUtil38calc_self_energy_merge_fullelect_pprofEP9nonbonded,600,185,0,185,37,123,6505.1,1323.66,819.061,32.4945,552.298
function@_ZN20ComputeNonbondedUtil30calc_self_slow_fullelect_pprofEP9nonbonded,546,138,0,152,38,143,6178.79,1003.48,593.291,154.666,694.373
function@_ZN20ComputeNonbondedUtil37calc_self_energy_slow_fullelect_pprofEP9nonbonded,571,140,0,161,36,135,6745.8,943.21,724.247,31.3517,683.978
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,3,6,0,2,0,7,1.49412,2.72941,1.24706,0,2.09412
function@_ZN20ComputeNonbondedUtil10calc_errorEP9nonbonded,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil6selectEP13SimParametersP8MoleculeP7LJTable,174,117,0,92,8,26,2561.65,8607.1,888.15,1.88281,1080.03
