@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,125, 12, 0, 8, 19, 80, 432.667, 51.2407, 50.4146, 56.9877, 427.647
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 3, 0, 3, 1, 11, 4.49878, 0.888078, 1.19221, 0.194647, 3.3017
~&SPILL_STATS,729, 362, 0, 234, 137, 92, 389.571, 55.674, 43.0652, 19.9773, 99.2823
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,650, 404, 0, 407, 301, 237, 50.923, 32.9184, 42.0617, 21.3207, 31.9733
~&SPILL_STATS,3, 2, 0, 4, 3, 7, 2.61905, 1.61905, 3.61905, 1.80952, 23.7381
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.8125
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 5, 0, 4, 0, 12, 4.25273, 5.9551, 6.21539, 0, 70.3175
~&SPILL_STATS,1, 1, 0, 1, 0, 7, 0.0714286, 0.0357143, 0.0714286, 0, 3.25
~&SPILL_STATS,5, 3, 0, 2, 10, 12, 1.44853, 0.926471, 0.933824, 1.89706, 12.6912
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
