"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@x264_encoder_encapsulate_nals,0,0,0,0,0,14,0,0,0,0,19.9762
function@x264_weighted_reference_duplicate,0,0,0,0,0,8,0,0,0,0,5.5
function@x264_encoder_intra_refresh,0,0,0,0,0,0,0,0,0,0,0
function@x264_encoder_encode,17,2,0,13,0,141,1.97633,0.921766,3.92054,0,293.038
function@x264_encoder_frame_end,11,0,0,9,0,75,2.03821,0,2.33147,0,351.826
function@x264_reference_check_reorder,0,0,0,0,0,2,0,0,0,0,8.2381
function@x264_threaded_slices_write,0,2,0,2,0,21,0,28.65,1,0,341.95
function@x264_slices_write,109,8,0,31,8,202,300.221,96.826,143.558,11.3925,855.638
function@x264_slice_header_init,0,0,0,0,0,5,0,0,0,0,39.6412
function@x264_fdec_filter_row,10,4,0,8,0,30,3.61765,1.57843,3.64706,0,30.0686
function@x264_encoder_close,69,21,0,81,2,77,8274.45,16669.3,15999.8,1.14062,14084.2
function@x264_encoder_delayed_frames,0,0,0,0,0,2,0,0,0,0,1.48387
function@x264_macroblock_write_cavlc,96,0,0,3,0,126,21.3289,0,4.12536,0,52.5308
function@bs_write_ue,0,0,0,0,0,1,0,0,0,0,1
function@bs_write_te,0,0,0,0,0,1,0,0,0,0,0.5
function@cavlc_mb_mvd,0,0,0,0,0,10,0,0,0,0,9
function@block_residual_write_cavlc,2,1,0,3,0,19,2,0.5,3,0,28.875
function@block_residual_write_cavlc_escape,0,0,0,0,0,18,0,0,0,0,11.3937
function@x264_cabac_mb_skip,0,0,0,0,0,1,0,0,0,0,1
function@x264_macroblock_write_cabac,138,7,0,21,7,426,53.0103,6.09641,11.274,0.513888,151.81
function@x264_cabac_mb_ref,0,0,0,0,0,5,0,0,0,0,23.9048
function@x264_cabac_mb_mvd,0,0,0,0,0,15,0,0,0,0,15
function@block_residual_write_cabac,8,5,0,7,0,29,33.9574,13.3467,5,0,854.432
function@x264_cabac_mb_type_intra,2,0,0,2,0,25,0.494118,0,0.494118,0,9
function@x264_cabac_mb_mvd_cpn,0,0,0,0,0,26,0,0,0,0,15.8824
function@x264_rd_cost_part,55,18,0,20,0,126,21.0173,1.13254,10.1204,0,81.4856
function@x264_rd_cost_mb,24,0,0,10,0,109,5.3789,0,5.33659,0,15.8018
function@ssd_plane,11,2,0,6,0,25,1.0989,0.0879121,0.967033,0,7.62088
function@x264_macroblock_size_cabac,233,8,0,7,14,272,54.7786,1.78056,2.55556,1.09253,92.2534
function@x264_cabac_mb_ref,0,0,0,0,0,5,0,0,0,0,21.64
function@x264_cabac_mb8x8_mvd,3,0,0,3,0,63,0.6,0,0.6,0,14.2
function@x264_cabac_mb_mvd_cpn,0,0,0,0,0,3,0,0,0,0,1.23529
function@block_residual_write_cabac_internal,4,7,0,4,0,17,17.7143,29.7937,3.61905,0,41
function@cavlc_mb_mvd,0,0,0,0,0,6,0,0,0,0,6
function@cavlc_mb8x8_mvd,0,0,0,0,0,22,0,0,0,0,6
function@block_residual_write_cavlc,0,1,0,1,0,15,0,0.5,1,0,36.625
function@x264_macroblock_luma_write_cavlc,2,1,0,1,0,11,1.5,0.75,1,0,63.6875
function@x264_rdo_init,31,0,0,31,0,11,244.125,0,31,0,1870.62
function@x264_quant_dc_trellis,0,0,0,0,0,3,0,0,0,0,3
function@quant_trellis_cabac,31,8,0,23,0,49,2059.43,1649.78,405.929,0,4577.13
function@x264_quant_4x4_trellis,0,0,0,0,0,4,0,0,0,0,4
function@x264_quant_8x8_trellis,0,0,0,0,0,4,0,0,0,0,4
function@x264_analyse_init_costs,0,1,0,1,0,8,0,7.5,0.234283,0,9.66261
