"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_7MappingILi3ELi3EEERKNS_10DoFHandlerILi3ELi3EEERKNS_10QuadratureILi3EEERNS_12SparseMatrixIfEERKNS_8FunctionILi3EEERNS_6VectorIdEEPSN_NS_13MatrixCreator13IteratorRangeISB_EERNS0_16DummyThreadMutexENS4_9null_typeEEELi9EEclES9_SD_SH_SK_SO_SR_SS_SV_SX_,1,0,0,1,0,22,1,0,1,0,11.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_10DoFHandlerIXT_EXT1_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSG_,0,0,0,0,0,6,0,0,0,0,6
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii7Threads11split_rangeINS_18TriaActiveIteratorINS_15DoFCellAccessorINS_2hp10DoFHandlerILi3ELi3EEEEEEEEESt6vectorISt4pairIT_SB_ESaISC_EERKSB_SG_j,29,3,0,8,0,26,36.9996,5.68742,4.9375,0,679.596
function@_ZN6dealii13MatrixCreator20create_mass_matrix_1ILi3EdLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEENS0_13IteratorRangeIS8_EERNS_7Threads16DummyThreadMutexE,122,71,0,43,14,69,196196,155926,9517.1,948.313,121509
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_2hp17MappingCollectionILi3ELi3EEERKNS6_10DoFHandlerILi3ELi3EEERKNS6_11QCollectionILi3EEERNS_12SparseMatrixIdEEPKNS_8FunctionILi3EEENS_13MatrixCreator13IteratorRangeISC_EERNS0_16DummyThreadMutexENS4_9null_typeESV_SV_EELi7EEclESA_SE_SI_SL_SP_SS_SU_,0,0,0,0,0,24,0,0,0,0,13.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_2hp10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSL_,6,0,0,4,0,24,81.9918,0,4,0,116.505
function@_ZN6dealii13MatrixCreator20create_mass_matrix_2ILi3EdLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSL_NS0_13IteratorRangeIS8_EERNS_7Threads16DummyThreadMutexE,129,70,0,45,12,79,174724,214524,10610.8,1868.9,147537
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_2hp17MappingCollectionILi3ELi3EEERKNS6_10DoFHandlerILi3ELi3EEERKNS6_11QCollectionILi3EEERNS_12SparseMatrixIdEERKNS_8FunctionILi3EEERNS_6VectorIdEEPSO_NS_13MatrixCreator13IteratorRangeISC_EERNS0_16DummyThreadMutexENS4_9null_typeEEELi9EEclESA_SE_SI_SL_SP_SS_ST_SW_SY_,1,0,0,1,0,22,1,0,1,0,11.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EdLi3EEEvRKNS_2hp10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSH_,0,0,0,0,0,6,0,0,0,0,6
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii13MatrixCreator20create_mass_matrix_1ILi3EfLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEENS0_13IteratorRangeIS8_EERNS_7Threads16DummyThreadMutexE,122,71,0,43,14,69,196196,155926,9517.1,948.313,121509
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_2hp17MappingCollectionILi3ELi3EEERKNS6_10DoFHandlerILi3ELi3EEERKNS6_11QCollectionILi3EEERNS_12SparseMatrixIfEEPKNS_8FunctionILi3EEENS_13MatrixCreator13IteratorRangeISC_EERNS0_16DummyThreadMutexENS4_9null_typeESV_SV_EELi7EEclESA_SE_SI_SL_SP_SS_SU_,0,0,0,0,0,24,0,0,0,0,13.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_2hp10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EEPKNS_8FunctionIXT1_EEE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSL_,6,0,0,4,0,24,81.9918,0,4,0,116.505
function@_ZN6dealii13MatrixCreator20create_mass_matrix_2ILi3EfLi3EEEvRKNS_2hp17MappingCollectionIXT_EXT1_EEERKNS2_10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSL_NS0_13IteratorRangeIS8_EERNS_7Threads16DummyThreadMutexE,129,70,0,45,12,79,174724,214524,10610.8,1868.9,147537
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleIRKNS_2hp17MappingCollectionILi3ELi3EEERKNS6_10DoFHandlerILi3ELi3EEERKNS6_11QCollectionILi3EEERNS_12SparseMatrixIfEERKNS_8FunctionILi3EEERNS_6VectorIdEEPSO_NS_13MatrixCreator13IteratorRangeISC_EERNS0_16DummyThreadMutexENS4_9null_typeEEELi9EEclESA_SE_SI_SL_SP_SS_ST_SW_SY_,1,0,0,1,0,22,1,0,1,0,11.4219
function@_ZN6dealii13MatrixCreator18create_mass_matrixILi3EfLi3EEEvRKNS_2hp10DoFHandlerIXT_EXT1_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIT0_EERKNS_8FunctionIXT1_EEERNS_6VectorIdEEPSH_,0,0,0,0,0,6,0,0,0,0,6
function@_ZN6dealii13MatrixCreator27create_boundary_mass_matrixILi3ELi3EEEvRKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXmiT_Li1EEEERNS_12SparseMatrixIdEERKNS_11FunctionMapIXT0_EE4typeERNS_6VectorIdEERSt6vectorIjSaIjEEPKNS_8FunctionIXT0_EEESN_,4,1,0,4,2,15,3.99875,0.999688,3.99969,1.99969,12.2465
function@_ZN6dealii13MatrixCreator27create_boundary_mass_matrixILi3ELi3EEEvRKNS_7MappingIXT_EXT0_EEERKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXmiT_Li1EEEERNS_12SparseMatrixIdEERKNS_11FunctionMapIXT0_EE4typeERNS_6VectorIdEERSt6vectorIjSaIjEEPKNS_8FunctionIXT0_EEESR_,9,0,0,6,0,25,122.363,0,6,0,140.128
function@_ZN6dealii13MatrixCreator29create_boundary_mass_matrix_1ILi3ELi3EEEvN5boost6tuples5tupleIRKNS_7MappingIXT_EXT0_EEERKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXmiT_Li1EEEENS3_9null_typeESH_SH_SH_SH_SH_SH_EERNS_12SparseMatrixIdEERKNS_11FunctionMapIXT0_EE4typeERNS_6VectorIdEERSt6vectorIjSaIjEEPKNS_8FunctionIXT0_EEERKSW_NS0_13IteratorRangeISA_EERNS_7Threads16DummyThreadMutexE,142,72,0,68,9,118,1.27512e+06,696078,39771.9,9517.1,63701.7
