"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_set_caret_X,0,0,0,0,0,0,0,0,0,0,0
function@Perl_Slab_Alloc,0,0,0,0,0,15,0,0,0,0,4.93817
function@Perl_Slab_Free,0,0,0,0,0,3,0,0,0,0,9.21875
function@Perl_opslab_free,0,0,0,0,0,1,0,0,0,0,31.875
function@Perl_opslab_free_nopad,0,0,0,0,0,5,0,0,0,0,65.8571
function@Perl_opslab_force_free,0,0,0,0,0,6,0,0,0,0,176.928
function@Perl_op_free,2,0,0,2,0,20,13.1765,0,8.47059,0,125.059
function@Perl_allocmy,1,0,0,1,0,13,0.010989,0,0.0230769,0,5.93956
function@S_find_and_forget_pmops,0,0,0,0,0,2,0,0,0,0,11.6364
function@Perl_op_clear,0,0,0,0,0,22,0,0,0,0,2.24608
function@S_op_clear_gv,0,0,0,0,0,4,0,0,0,0,1.44037
function@Perl_ck_ftst,0,0,0,0,0,13,0,0,0,0,2.83284
function@Perl_op_null,0,0,0,0,0,3,0,0,0,0,2.33333
function@Perl_op_sibling_splice,0,0,0,0,0,11,0,0,0,0,29.439
function@Perl_custom_op_get_field,0,0,0,0,0,19,0,0,0,0,9.18603
function@S_op_sibling_newUNOP,0,0,0,0,0,14,0,0,0,0,14
function@Perl_newUNOP,0,0,0,0,0,14,0,0,0,0,9.00781
function@S_alloc_LOGOP,0,0,0,0,0,4,0,0,0,0,19.5
function@Perl_op_contextualize,0,0,0,0,0,5,0,0,0,0,2.5
function@Perl_scalar,0,0,0,0,0,14,0,0,0,0,3.02878
function@Perl_list,0,0,0,0,0,29,0,0,0,0,3.48472
function@Perl_scalarvoid,11,0,0,8,0,56,1.01912,0,1.02155,0,31.2022
function@Perl_op_linklist,0,0,0,0,0,7,0,0,0,0,12.4066
function@S_op_varname,0,0,0,0,0,1,0,0,0,0,0.315789
function@S_op_pretty,0,0,0,0,0,4,0,0,0,0,1.65079
function@S_no_bareword_allowed,0,0,0,0,0,2,0,0,0,0,2
function@S_inplace_aassign,0,0,0,0,0,2,0,0,0,0,0.00117349
function@S_scalarkids,0,0,0,0,0,3,0,0,0,0,8.375
function@S_gen_constant_list,0,0,0,0,0,12,0,0,0,0,6.71569
function@S_listkids,0,0,0,0,0,3,0,0,0,0,8.375
function@Perl_newSVOP,0,0,0,0,0,14,0,0,0,0,9.4
function@S_check_hash_fields_and_hekify,0,0,0,0,0,13,0,0,0,0,25.1846
function@Perl_finalize_optree,0,0,0,0,0,2,0,0,0,0,2
function@S_finalize_op,0,0,0,0,0,9,0,0,0,0,11.2481
function@S_scalar_slice_warning,0,0,0,0,0,7,0,0,0,0,0.0349171
function@Perl_op_lvalue_flags,0,0,0,0,0,34,0,0,0,0,4.05177
function@S_modkids,0,0,0,0,0,5,0,0,0,0,15.75
function@S_scalar_mod_type,0,0,0,0,0,0,0,0,0,0,0
function@Perl_doref,0,0,0,0,0,10,0,0,0,0,6.38677
function@S_mark_padname_lvalue,0,0,0,0,0,2,0,0,0,0,8.8125
function@S_vivifies,0,0,0,0,0,0,0,0,0,0,0
function@S_lvref,0,0,0,0,0,14,0,0,0,0,11.1878
function@Perl_apply_attrs_string,0,0,0,0,0,47,0,0,0,0,1051.07
function@Perl_op_append_elem,0,0,0,0,0,7,0,0,0,0,3.5092
function@Perl_load_module,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_prepend_elem,0,0,0,0,0,11,0,0,0,0,6.8618
function@Perl_my_attrs,0,0,0,0,0,16,0,0,0,0,7.53516
function@S_my_kid,0,0,0,0,0,13,0,0,0,0,6.40305
function@Perl_op_append_list,0,0,0,0,0,12,0,0,0,0,4.53211
function@S_cant_declare,0,0,0,0,0,2,0,0,0,0,1.33333
function@S_apply_attrs,0,0,0,0,0,27,0,0,0,0,15.3945
function@S_apply_attrs_my,0,0,0,0,0,54,0,0,0,0,25.7015
function@S_dup_attrlist,0,0,0,0,0,8,0,0,0,0,10.8333
function@Perl_newOP,0,0,0,0,0,12,0,0,0,0,7.4
function@Perl_op_convert_list,0,0,0,0,0,22,0,0,0,0,10.1882
function@Perl_newMETHOP_named,0,0,0,0,0,6,0,0,0,0,5.4
function@Perl_sawparens,0,0,0,0,0,1,0,0,0,0,1
function@Perl_bind_match,4,2,0,1,1,29,53.3629,42.6935,1,1,460.895
function@Perl_newBINOP,0,0,0,0,0,17,0,0,0,0,11.3164
function@Perl_pmruntime,99,17,0,54,2,168,62.093,11.0675,35.5719,0.3125,101.398
function@Perl_newPMOP,0,0,0,0,0,21,0,0,0,0,10.5588
function@Perl_invert,0,0,0,0,0,3,0,0,0,0,2.2381
function@Perl_op_scope,0,0,0,0,0,9,0,0,0,0,3.6687
function@Perl_newLISTOP,0,0,0,0,0,18,0,0,0,0,11.254
function@Perl_op_unscope,0,0,0,0,0,4,0,0,0,0,8.35
function@Perl_block_start,0,0,0,0,0,10,0,0,0,0,8.40625
function@Perl_block_end,0,0,0,0,0,25,0,0,0,0,66.0439
function@S_scalarseq,0,0,0,0,0,5,0,0,0,0,15
function@Perl_newSTATEOP,5,0,0,2,0,21,2.6,0,2,0,11.2769
function@Perl_blockhook_register,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newPROG,0,0,0,0,0,18,0,0,0,0,4.89286
function@Perl_localize,0,0,0,0,0,7,0,0,0,0,3.75909
function@Perl_jmaybe,0,0,0,0,0,16,0,0,0,0,5.65882
function@Perl_newSVREF,0,0,0,0,0,5,0,0,0,0,3.5
function@Perl_newGVOP,0,0,0,0,0,0,0,0,0,0,0
function@S_force_list,0,0,0,0,0,11,0,0,0,0,5.60294
function@S_fold_constants,7,0,0,4,0,37,0.289012,0,0.372169,0,6.75847
function@Perl_newUNOP_AUX,0,0,0,0,0,10,0,0,0,0,8.30952
function@Perl_newMETHOP,0,0,0,0,0,18,0,0,0,0,7.81618
function@Perl_newATTRSUB_x,73,18,0,33,0,125,7.09884,3.26179,8.48551,0,18.1466
function@S_set_haseval,0,0,0,0,0,3,0,0,0,0,54.7619
function@uvcompare,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newDEFSVOP,0,0,0,0,0,8,0,0,0,0,4.52941
function@Perl_newPVOP,0,0,0,0,0,14,0,0,0,0,9.4
function@Perl_package,0,0,0,0,0,5,0,0,0,0,5
function@Perl_package_version,0,0,0,0,0,3,0,0,0,0,3
function@Perl_utilize,5,0,0,4,0,100,2.24719,0,2.25094,0,37.8989
function@Perl_vload_module,0,0,0,0,0,23,0,0,0,0,24.5765
function@Perl_dofile,0,0,0,0,0,8,0,0,0,0,3.70588
function@Perl_newSLICEOP,0,0,0,0,0,10,0,0,0,0,10
function@Perl_newASSIGNOP,0,0,0,0,0,61,0,0,0,0,12.6738
function@Perl_newLOGOP,0,0,0,0,0,0,0,0,0,0,0
function@S_assignment_type,0,0,0,0,0,5,0,0,0,0,1.67578
function@S_new_logop,15,0,0,2,0,49,1.92387,0,0.76511,0,30.8354
function@Perl_newCONDOP,4,0,0,1,0,54,0.625,0,1,0,37.0918
function@Perl_newRANGE,2,0,0,1,0,27,0.971429,0,1,0,36.9143
function@Perl_newLOOPOP,0,0,0,0,0,28,0,0,0,0,11.2947
function@Perl_newWHILEOP,3,0,0,2,0,40,1.90961,0,2,0,18.239
function@Perl_newFOROP,10,0,0,5,0,44,4.05572,0,4.06158,0,20.6188
function@Perl_newLOOPEX,0,0,0,0,0,19,0,0,0,0,7
function@Perl_newGIVENOP,0,0,0,0,0,5,0,0,0,0,5
function@S_newGIVWHENOP,0,0,0,0,0,21,0,0,0,0,32.0588
function@S_ref_array_or_hash,0,0,0,0,0,3,0,0,0,0,0.982609
function@Perl_newANONLIST,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newWHENOP,0,0,0,0,0,12,0,0,0,0,6.88
function@S_looks_like_bool,0,0,0,0,0,1,0,0,0,0,0.565121
function@Perl_cv_ckproto_len_flags,7,0,0,3,0,53,0.75657,0,2.24988,0,7.57354
function@Perl_cv_const_sv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_cv_const_sv_or_av,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newMYSUB,63,10,0,34,1,103,7.42223,2.59803,9.63592,0.375,26.2651
function@S_move_proto_attr,5,1,0,5,0,26,0.791015,0.390625,0.9375,0,10.9053
function@S_perl_hash_one_at_a_time_hard,0,0,0,0,0,14,0,0,0,0,52.5714
function@S_op_const_sv,0,0,0,0,0,10,0,0,0,0,18.8549
function@S_already_defined,0,0,0,0,0,11,0,0,0,0,7.38095
function@const_sv_xsub,0,0,0,0,0,1,0,0,0,0,0.32
function@Perl_report_redefined_cv,2,0,0,1,0,37,0.0161863,0,0.086064,0,4.37544
