"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@x264_encoder_encapsulate_nals,0,0,0,0,0,14,0,0,0,0,19.9762
function@x264_weighted_reference_duplicate,0,0,0,0,0,8,0,0,0,0,5.5
function@x264_encoder_intra_refresh,0,0,0,0,0,0,0,0,0,0,0
function@x264_encoder_encode,25,8,0,7,12,130,7.39956,1.88891,4.71386,0.863997,289.279
function@x264_encoder_frame_end,20,1,0,15,1,53,8.69836,0.285801,4.01252,0.178626,346.796
function@x264_reference_check_reorder,0,0,0,0,0,2,0,0,0,0,8.2381
function@x264_threaded_slices_write,0,2,0,2,0,23,0,28.65,1,0,352.8
function@x264_slices_write,809,23,0,29,18,187,2984.33,136.995,135.059,51.162,737.843
function@x264_slice_header_init,0,0,0,0,0,7,0,0,0,0,41.6412
function@x264_fdec_filter_row,31,16,0,12,7,25,33.049,16.7451,5.26471,13.0294,29.6373
function@x264_encoder_close,374,81,0,94,15,60,28198.1,33726.3,18432.7,4662.14,12878.6
function@x264_encoder_delayed_frames,0,0,0,0,0,3,0,0,0,0,2.48387
function@x264_macroblock_write_cavlc,696,1,0,8,2,79,292.282,0.499797,3.81156,10.0024,35.9943
function@bs_write_ue,0,0,0,0,0,1,0,0,0,0,1
function@bs_write_te,0,0,0,0,0,1,0,0,0,0,0.5
function@cavlc_mb_mvd,0,0,0,0,0,11,0,0,0,0,10
function@block_residual_write_cavlc,2,2,0,2,0,20,2,1.5,2,0,29.125
function@block_residual_write_cavlc_escape,0,0,0,0,0,18,0,0,0,0,11.3937
function@x264_cabac_mb_skip,0,0,0,0,0,3,0,0,0,0,3
function@x264_macroblock_write_cabac,302,7,0,25,31,198,113.302,4.1994,16.5286,12.7132,74.818
function@x264_cabac_mb_ref,0,0,0,0,0,5,0,0,0,0,23.9048
function@x264_cabac_mb_mvd,0,0,0,0,0,16,0,0,0,0,16
function@block_residual_write_cabac,26,6,0,8,0,14,477.821,8.118,6.19465,0,401.077
function@x264_cabac_mb_type_intra,2,0,0,2,0,25,0.4,0,0.494118,0,9.09412
function@x264_cabac_mb_mvd_cpn,0,0,0,0,0,26,0,0,0,0,15.8824
function@x264_rd_cost_part,68,45,0,33,14,96,25.3577,6.66542,8.7233,4.05762,53.961
function@x264_rd_cost_mb,14,3,0,17,8,69,8.15625,3,10.0391,5.29166,12.3161
function@ssd_plane,13,7,0,8,2,23,3.05494,3.31868,4.46154,0.230769,7.39011
function@x264_macroblock_size_cabac,19,13,0,13,33,296,6.43207,9.70301,3.04404,8.48148,105.411
function@x264_cabac_mb_ref,0,0,0,0,0,5,0,0,0,0,21.64
function@x264_cabac_mb8x8_mvd,18,0,0,1,0,44,3.6,0,1,0,9.6
function@x264_cabac_mb_mvd_cpn,0,0,0,0,0,3,0,0,0,0,1.23529
function@block_residual_write_cabac_internal,3,12,0,3,2,12,12.5238,32.9524,3,20.9206,26.4762
function@cavlc_mb_mvd,0,0,0,0,0,6,0,0,0,0,6
function@cavlc_mb8x8_mvd,0,0,0,0,0,22,0,0,0,0,6
function@block_residual_write_cavlc,2,0,0,1,0,16,2,0,1,0,36
function@x264_macroblock_luma_write_cavlc,2,3,0,2,0,11,1,17.75,1.5,0,63.6875
function@x264_rdo_init,30,3,0,30,19,9,485.375,1039.62,90.625,64.75,1598.88
function@x264_quant_dc_trellis,0,0,0,0,0,3,0,0,0,0,2.5
function@quant_trellis_cabac,152,17,0,53,9,27,6158.78,1040.7,1896.39,202.619,2336.98
function@x264_quant_4x4_trellis,0,0,0,0,0,7,0,0,0,0,7
function@x264_quant_8x8_trellis,0,0,0,0,0,4,0,0,0,0,4
function@x264_analyse_init_costs,1,1,0,1,5,9,1,7.5,0.234283,1.57083,8.70662
