"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_reg_temp_copy,0,0,0,0,0,8,0,0,0,0,4.39216
function@Perl_taint_proper,0,0,0,0,0,2,0,0,0,0,0.901961
function@Perl_taint_env,0,0,0,0,0,3,0,0,0,0,1.28815
function@Perl_set_caret_X,0,0,0,0,0,0,0,0,0,0,0
function@Perl_Slab_Alloc,11,0,0,4,0,9,0.475806,0,0.483871,0,2.93817
function@Perl_Slab_Free,0,0,0,0,0,2,0,0,0,0,8.46875
function@Perl_opslab_free,0,0,0,0,0,1,0,0,0,0,31.875
function@Perl_opslab_free_nopad,0,0,0,0,0,2,0,0,0,0,32.4286
function@Perl_opslab_force_free,0,0,0,0,0,4,0,0,0,0,145.5
function@Perl_op_free,26,0,0,11,0,28,87.2941,0,67.7647,0,200.412
function@Perl_allocmy,0,0,0,0,0,5,0,0,0,0,1.45165
function@S_find_and_forget_pmops,0,0,0,0,0,4,0,0,0,0,13.0909
function@Perl_op_clear,7,1,0,7,6,17,0.175523,0.0439895,0.307491,0.107143,1.97975
function@S_op_clear_gv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_ftst,0,0,0,0,0,6,0,0,0,0,1.04985
function@Perl_op_null,0,0,0,0,0,1,0,0,0,0,0.666667
function@Perl_op_sibling_splice,5,0,0,1,0,15,0.906504,0,0.857724,0,30.4228
function@Perl_custom_op_get_field,0,0,0,0,0,7,0,0,0,0,3.39844
function@S_op_sibling_newUNOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newUNOP,0,0,0,0,0,9,0,0,0,0,5.75
function@S_alloc_LOGOP,0,0,0,0,0,2,0,0,0,0,17.5
function@Perl_op_contextualize,0,0,0,0,0,2,0,0,0,0,1
function@Perl_scalar,1,2,0,1,1,7,0.0021075,0.00210738,0.0021075,0.0110674,1.61535
function@Perl_list,0,5,0,6,1,21,0,0.0506406,0.00197109,0.053548,2.11309
function@Perl_scalarvoid,133,0,0,9,1,32,72.5003,0,70.4473,1,51.6359
function@Perl_op_linklist,0,0,0,0,0,4,0,0,0,0,9.58242
function@S_op_varname,0,0,0,0,0,0,0,0,0,0,0
function@S_op_pretty,0,0,0,0,0,3,0,0,0,0,1.4127
function@S_no_bareword_allowed,0,0,0,0,0,1,0,0,0,0,1
function@S_inplace_aassign,1,0,0,1,0,0,0.000167641,0,0.000314327,0,0
function@S_scalarkids,0,0,0,0,0,2,0,0,0,0,2
function@S_gen_constant_list,1,0,0,1,0,6,0.607843,0,0.607843,0,2.30392
function@S_listkids,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newSVOP,0,0,0,0,0,2,0,0,0,0,2
function@S_check_hash_fields_and_hekify,4,0,0,2,3,9,8.125,0,0.9375,1,25.4761
function@Perl_finalize_optree,0,0,0,0,0,1,0,0,0,0,1
function@S_finalize_op,0,0,0,0,0,5,0,0,0,0,11.1896
function@S_scalar_slice_warning,0,0,0,0,0,4,0,0,0,0,0.0308582
function@Perl_op_lvalue_flags,1,0,0,0,25,19,0.0071678,0,0,0.437652,0.866386
function@S_modkids,0,0,0,0,0,3,0,0,0,0,3
function@S_scalar_mod_type,0,0,0,0,0,0,0,0,0,0,0
function@Perl_doref,0,0,0,0,0,2,0,0,0,0,1.60891
function@S_mark_padname_lvalue,0,0,0,0,0,2,0,0,0,0,8.8125
function@S_vivifies,0,0,0,0,0,0,0,0,0,0,0
function@S_lvref,0,0,0,0,0,9,0,0,0,0,10.7613
function@Perl_apply_attrs_string,0,0,0,0,0,27,0,0,0,0,1010.57
function@Perl_op_append_elem,0,0,0,0,0,2,0,0,0,0,1.12883
function@Perl_load_module,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_prepend_elem,0,0,0,0,0,4,0,0,0,0,4.26009
function@Perl_my_attrs,0,0,0,0,0,6,0,0,0,0,3.25
function@S_my_kid,0,0,0,0,0,10,0,0,0,0,5.23422
function@Perl_op_append_list,0,0,0,0,0,4,0,0,0,0,1.97859
function@S_cant_declare,0,0,0,0,0,0,0,0,0,0,0
function@S_apply_attrs,4,0,0,1,0,13,0.981651,0,1,0,6.9266
function@S_apply_attrs_my,4,0,0,1,0,25,0.992537,0,1,0,11.6119
function@S_dup_attrlist,0,0,0,0,0,4,0,0,0,0,3.83333
function@Perl_newOP,0,0,0,0,0,3,0,0,0,0,3
function@Perl_op_convert_list,1,0,0,1,0,12,1,0,1,0,6.77647
function@Perl_newMETHOP_named,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sawparens,0,0,0,0,0,0,0,0,0,0,0
function@Perl_bind_match,11,1,0,4,4,11,163.992,0.25,86.0806,43.6935,256.452
function@Perl_newBINOP,1,0,0,1,0,9,1,0,1,0,6.1875
function@Perl_pmruntime,155,69,0,88,46,170,120.301,73.2621,92.1339,9.36146,148.952
function@Perl_newPMOP,0,0,0,0,0,6,0,0,0,0,3.09804
