"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl__get_regclass_nonbitmap_data,16,14,0,6,3,11,3.03223,1.81732,1.41846,1.41504,2.24512
function@Perl_regdump,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regprop,0,0,0,0,0,0,0,0,0,0,0
function@Perl_pregfree,0,0,0,0,0,0,0,0,0,0,0
function@Perl_pregfree2,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_temp_copy,3,1,0,2,0,4,2.60784,1,2,0,2.58824
function@Perl_taint_proper,0,0,0,0,0,2,0,0,0,0,0.901961
function@Perl_taint_env,0,0,0,0,0,3,0,0,0,0,1.28815
function@Perl_set_caret_X,0,0,0,0,0,0,0,0,0,0,0
function@Perl_Slab_Alloc,50,7,0,14,13,4,4.32258,1.35753,2.52957,1.07527,1.21774
function@Perl_Slab_Free,0,0,0,0,0,2,0,0,0,0,8.46875
function@Perl_opslab_free,0,0,0,0,0,1,0,0,0,0,31.875
function@Perl_opslab_free_nopad,0,0,0,0,0,2,0,0,0,0,32.4286
function@Perl_opslab_force_free,0,0,0,0,0,4,0,0,0,0,145.5
function@Perl_op_free,33,8,0,6,7,4,149.059,61.2353,49.1176,31.1176,79.0588
function@Perl_allocmy,0,1,0,1,4,6,0,0.078022,1,0.382418,3.25165
function@S_find_and_forget_pmops,4,0,0,1,1,3,2.40909,0,0.977273,0.977273,12.1136
function@Perl_op_clear,9,2,0,10,7,17,0.527439,0.219948,0.956882,0.283101,1.97975
function@S_op_clear_gv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_ftst,0,0,0,0,0,6,0,0,0,0,1.04985
function@Perl_op_null,0,0,0,0,0,1,0,0,0,0,0.666667
function@Perl_op_refcnt_lock,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_refcnt_unlock,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_sibling_splice,5,2,0,3,2,10,1.05691,0.707317,1.70732,1.07317,29.1585
function@Perl_custom_op_get_field,4,0,0,2,0,5,1.63281,0,1.3125,0,2.08594
function@S_op_sibling_newUNOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newUNOP,0,0,0,0,0,9,0,0,0,0,5.75
function@S_alloc_LOGOP,0,0,0,0,0,2,0,0,0,0,17.5
function@Perl_op_contextualize,0,0,0,0,0,2,0,0,0,0,1
function@Perl_scalar,3,4,0,2,3,4,0.00758708,0.00421476,0.00547957,0.0063225,1.60903
function@Perl_list,0,5,0,6,1,21,0,0.0506406,0.00197109,0.053548,2.11309
function@Perl_scalarvoid,27,2,0,4,10,14,56.4489,1.36798,16.4342,6.73597,17.5022
function@Perl_op_linklist,0,0,0,0,0,4,0,0,0,0,9.58242
function@S_op_varname,0,0,0,0,0,0,0,0,0,0,0
function@S_op_pretty,0,0,0,0,0,3,0,0,0,0,1.4127
function@S_no_bareword_allowed,0,0,0,0,0,1,0,0,0,0,1
function@S_inplace_aassign,2,0,0,1,0,1,0.117768,0,0.117181,0,1
function@S_scalarkids,0,0,0,0,0,2,0,0,0,0,2
function@S_gen_constant_list,1,0,0,1,0,6,0.607843,0,1,0,2.30392
function@S_listkids,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newSVOP,0,0,0,0,0,2,0,0,0,0,2
function@S_check_hash_fields_and_hekify,8,2,0,5,8,4,16.0596,2.69531,5.50781,2.19043,10.2197
function@Perl_finalize_optree,0,0,0,0,0,1,0,0,0,0,1
function@S_finalize_op,0,0,0,0,0,5,0,0,0,0,11.1896
function@S_scalar_slice_warning,1,4,0,1,3,2,0.00670827,0.0134165,0.00670827,0.0201248,0.0174416
function@Perl_op_lvalue_flags,15,36,0,4,25,26,1.1524,1.31247,1.48193,0.437652,2.28577
function@S_modkids,0,0,0,0,0,3,0,0,0,0,3
function@S_scalar_mod_type,0,0,0,0,0,0,0,0,0,0,0
function@Perl_doref,0,0,0,0,0,2,0,0,0,0,1.60891
function@S_mark_padname_lvalue,0,0,0,0,0,3,0,0,0,0,9.8125
function@S_vivifies,0,0,0,0,0,1,0,0,0,0,1
function@S_lvref,0,0,0,0,0,10,0,0,0,0,10.8351
function@Perl_apply_attrs_string,17,11,0,10,3,15,368.929,28.7679,32.7143,297.411,941.554
function@Perl_op_append_elem,0,0,0,0,0,2,0,0,0,0,1.12883
function@Perl_load_module,0,0,0,0,0,0,0,0,0,0,0
