"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMhuygens_modPhuygense,619,120,0,269,3,476,382.482,158.089,133.607,3,1097.07
function@_QMhuygens_modPuin,168,101,0,92,5,263,516.671,679.047,366.491,6.94444,3442.73
function@_QMmaterial_modPmat_init,446,120,0,353,94,492,2.10678e+06,181363,140517,347694,2.14093e+06
function@_QMmaterial_modPmat_updatee,91,118,0,132,6,57,193723,117489,13315.8,6,78668.3
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,17,19,0,32,0,184,843.875,1426.88,307.375,0,1134.55
function@_QMpower_modPpower_stop,0,0,0,0,0,11,0,0,0,0,882.417
function@_QMpower_modPpower_dft,12,1,0,12,1,36,1069.56,202.259,45.4259,6.31482,18734.9
function@_QMpower_modPpower_print,15,0,0,10,0,79,40.0977,0,5.67188,0,298.295
function@_QMpower_modPpower_intere,7,9,0,8,0,39,2.33333,3,8,0,6.33333
function@_QMpower_modPpower_interh,18,4,0,14,0,47,6,1.33333,9.66667,0,9.33333
function@_QMpower_modPread_power,6,1,0,4,0,314,22.9309,0.625,7.69321,0,13280.6
function@_QMpower_modPpower_updateh,55,17,0,45,2,13,73.275,30.625,32.075,3.375,14.725
function@timer_,0,0,0,0,0,11,0,0,0,0,7.57143
function@leapfrog_,72,37,0,43,4,168,592.894,949.922,70.7656,2.5,3119.4
function@_QMpec_modPpec_read,11,0,0,5,0,105,20.3555,0,3.73828,0,259.437
function@_QMpec_modPpec_init,240,81,0,173,6,369,38093.3,5895.12,22394.1,230.149,163324
function@_QMpec_modPpec_apply,12,0,0,12,0,0,12,0,12,0,0
function@_QMpec_modPpec_end,0,0,0,0,0,9,0,0,0,0,3.6
function@_QQmain,13,20,0,28,0,197,32.8125,48.4375,29.1406,0,327.227
